Dosagem;Repetição;Posição;Peso_corrig;Dose_kg/ha
1000;A;1;42,6027;4.345,00
1000;A;2;29,7000;3.029,07
1000;A;3;34,1260;3.480,47
1000;A;4;33,3031;3.396,54
1000;A;5;12,6329;1.288,41
1000;A;6;7,6477;779,98
1000;A;7;3,6590;373,18
1000;B;1;5,8734;599,02
1000;B;2;11,7295;1.196,28
1000;B;3;16,6658;1.699,72
1000;B;4;12,2254;1.246,85
1000;B;5;8,7179;889,13
1000;B;6;3,9946;407,40
1000;B;7;7,6551;780,73
1000;C;1;17,4317;1.777,84
1000;C;2;24,4382;2.492,42
1000;C;3;16,1252;1.644,59
1000;C;4;5,5809;569,19
1000;C;5;1,4962;152,60
1000;C;6;0,0688;7,02
1000;C;7;0,9330;95,16
1000;D;1;0,6371;64,98
1000;D;2;4,9933;509,26
1000;D;3;23,1614;2.362,20
1000;D;4;23,2699;2.373,27
1000;D;5;7,9164;807,38
1000;D;6;6,6576;679,00
1000;D;7;3,8382;391,45
1000;E;1;4,8598;495,65
1000;E;2;11,5099;1.173,88
1000;E;3;8,4899;865,87
1000;E;4;11,9208;1.215,79
1000;E;5;13,1144;1.337,52
1000;E;6;7,7921;794,71
1000;E;7;3,4424;351,09
1000;F;1;5,8345;595,05
1000;F;2;37,9870;3.874,25
1000;F;3;18,1267;1.848,72
1000;F;4;21,7973;2.223,08
1000;F;5;9,5024;969,14
1000;F;6;3,6233;369,54
1000;F;7;1,2677;129,29
1000;G;1;12,8348;1.309,01
1000;G;2;5,7496;586,39
1000;G;3;14,6245;1.491,53
1000;G;4;12,8170;1.307,19
1000;G;5;6,0307;615,06
1000;G;6;4,0350;411,52
1000;G;7;0,7588;77,39
1000;H;1;14,4184;1.470,52
1000;H;2;18,2519;1.861,49
1000;H;3;7,8298;798,55
1000;H;4;3,3519;341,86
1000;H;5;2,3946;244,22
1000;H;6;2,2408;228,54
1000;H;7;1,8969;193,46
1000;I;1;46,7430;4.767,26
1000;I;2;41,9679;4.280,25
1000;I;3;11,2710;1.149,52
1000;I;4;4,4757;456,47
1000;I;5;2,8517;290,84
1000;I;6;0,9249;94,33
1000;I;7;0,3562;36,33
1000;J;1;13,5516;1.382,11
1000;J;2;18,2519;1.861,49
1000;J;3;7,8298;798,55
1000;J;4;3,3519;341,86
1000;J;5;2,3946;244,22
1000;J;6;2,2408;228,54
1000;J;7;1,8969;193,46
1000;L;1;37,5460;3.829,27
1000;L;2;27,0330;2.757,06
1000;L;3;24,3722;2.485,69
1000;L;4;17,0483;1.738,74
1000;L;5;13,1295;1.339,06
1000;L;6;5,3997;550,71
1000;L;7;2,0234;206,36
1000;M;1;17,9136;1.826,99
1000;M;2;17,1174;1.745,78
1000;M;3;34,1251;3.480,38
1000;M;4;25,3228;2.582,64
1000;M;5;11,9980;1.223,66
1000;M;6;5,9876;610,67
1000;M;7;1,8794;191,68
1000;N;1;38,7626;3.953,35
1000;N;2;20,7403;2.115,28
1000;N;3;24,9661;2.546,26
1000;N;4;17,5150;1.786,33
1000;N;5;5,8808;599,78
1000;N;6;3,1591;322,19
1000;N;7;0,7175;73,18
1000;O;1;26,4651;2.699,14
1000;O;2;18,0874;1.844,71
1000;O;3;17,7438;1.809,67
1000;O;4;11,1079;1.132,88
1000;O;5;7,4316;757,94
1000;O;6;5,0001;509,95
1000;O;7;2,3825;242,99
1000;P;1;12,0464;1.228,60
1000;P;2;23,2469;2.370,92
1000;P;3;14,0062;1.428,48
1000;P;4;11,0893;1.130,98
1000;P;5;5,1161;521,79
1000;P;6;1,8149;185,10
1000;P;7;0,6974;71,13
1000;Q;1;21,5974;2.202,69
1000;Q;2;30,0816;3.067,99
1000;Q;3;31,8883;3.252,25
1000;Q;4;18,2874;1.865,11
1000;Q;5;9,1645;934,68
1000;Q;6;6,6647;679,72
1000;Q;7;1,0388;105,95
1000;R;1;37,4063;3.815,02
1000;R;2;44,2771;4.515,77
1000;R;3;16,4503;1.677,75
1000;R;4;15,9114;1.622,78
1000;R;5;13,1414;1.340,28
1000;R;6;6,4046;653,20
1000;R;7;4,7869;488,21
1000;S;1;22,4071;2.285,27
1000;S;2;18,7332;1.910,58
1000;S;3;17,6443;1.799,52
1000;S;4;8,6318;880,35
1000;S;5;9,1714;935,38
1000;S;6;4,5322;462,23
1000;S;7;2,2006;224,44
1000;T;1;11,6443;1.187,59
1000;T;2;15,5107;1.581,92
1000;T;3;27,9048;2.845,98
1000;T;4;27,7137;2.826,49
1000;T;5;15,7437;1.605,68
1000;T;6;7,7831;793,79
1000;T;7;3,3952;346,27
1000;U;1;12,1573;1.239,91
1000;U;2;13,3045;1.356,91
1000;U;3;23,0749;2.353,38
1000;U;4;10,0694;1.026,97
1000;U;5;4,7376;483,18
1000;U;6;2,9936;305,31
1000;U;7;2,1833;222,67
1000;V;1;19,5555;1.994,44
1000;V;2;43,1757;4.403,44
1000;V;3;53,8349;5.490,56
1000;V;4;18,7716;1.914,49
1000;V;5;7,1807;732,35
1000;V;6;4,7924;488,77
1000;V;7;1,5745;160,58
1000;AA;1;12,8853;1.314,16
1000;AA;2;17,0688;1.740,83
1000;AA;3;18,6084;1.897,85
1000;AA;4;10,4556;1.066,35
1000;AA;5;6,2673;639,19
1000;AA;6;2,9506;300,93
1000;AA;7;1,5466;157,74
1000;BB;1;26,3956;2.692,06
1000;BB;2;24,7034;2.519,47
1000;BB;3;21,2598;2.168,26
1000;BB;4;20,4927;2.090,03
1000;BB;5;9,0633;924,35
1000;BB;6;4,1654;424,82
1000;BB;7;2,2369;228,14
1000;CC;1;19,5733;1.996,26
1000;CC;2;25,6046;2.611,38
1000;CC;3;19,9249;2.032,12
1000;CC;4;27,0927;2.763,15
1000;CC;5;13,1706;1.343,25
1000;CC;6;4,0109;409,07
1000;CC;7;2,3571;240,40
1000;DD;1;9,9870;1.018,56
1000;DD;2;22,8178;2.327,16
1000;DD;3;15,1389;1.544,00
1000;DD;4;26,0264;2.654,40
1000;DD;5;14,5212;1.481,00
1000;DD;6;3,5496;362,02
1000;DD;7;3,0236;308,37
1000;EE;1;18,5013;1.886,93
1000;EE;2;15,8340;1.614,89
1000;EE;3;23,4471;2.391,34
1000;EE;4;14,8657;1.516,13
1000;EE;5;9,2069;939,00
1000;EE;6;6,0201;613,98
1000;EE;7;5,2383;534,25
1000;FF;1;8,4180;858,54
1000;FF;2;14,5440;1.483,32
1000;FF;3;21,7286;2.216,07
1000;FF;4;21,0859;2.150,53
1000;FF;5;12,1022;1.234,29
1000;FF;6;3,7297;380,39
1000;FF;7;2,9454;300,40
1000;GG;1;35,8609;3.657,41
1000;GG;2;45,4278;4.633,13
1000;GG;3;31,8549;3.248,84
1000;GG;4;18,1288;1.848,93
1000;GG;5;17,0975;1.743,75
1000;GG;6;1,6123;164,44
1000;GG;7;0,6917;70,55
1000;HH;1;80,7228;8.232,82
1000;HH;2;39,1790;3.995,82
1000;HH;3;21,3567;2.178,14
1000;HH;4;18,7500;1.912,29
1000;HH;5;17,5223;1.787,08
1000;HH;6;2,8141;287,01
1000;HH;7;0,4605;46,97
1000;II;1;37,0962;3.783,40
1000;II;2;31,3538;3.197,74
1000;II;3;21,1616;2.158,25
1000;II;4;18,5361;1.890,47
1000;II;5;10,5345;1.074,40
1000;II;6;3,1763;323,95
1000;II;7;0,4725;48,19
1000;JJ;1;15,0275;1.532,64
1000;JJ;2;11,0279;1.124,72
1000;JJ;3;14,5591;1.484,86
1000;JJ;4;7,3880;753,49
1000;JJ;5;5,7144;582,80
1000;JJ;6;3,1942;325,77
1000;JJ;7;1,6301;166,25
1000;LL;1;16,9300;1.726,67
1000;LL;2;39,1556;3.993,43
1000;LL;3;20,4374;2.084,39
1000;LL;4;6,0143;613,39
1000;LL;5;2,3660;241,31
1000;LL;6;1,5117;154,18
1000;LL;7;1,2163;124,05
1000;MM;1;21,7736;2.220,66
1000;MM;2;19,3353;1.971,98
1000;MM;3;21,4158;2.184,17
1000;MM;4;18,1189;1.847,92
1000;MM;5;15,0865;1.538,65
1000;MM;6;6,2055;632,89
1000;MM;7;5,4800;558,90
2000;NN;1;8,0681;822,86
2000;NN;2;6,6145;674,60
2000;NN;3;9,2086;939,17
2000;NN;4;13,4712;1.373,91
2000;NN;5;6,1149;623,65
2000;NN;6;2,8063;286,21
2000;NN;7;7,1352;727,71
2000;OO;1;18,6933;1.906,51
2000;OO;2;14,7100;1.500,25
2000;OO;3;11,4042;1.163,10
2000;OO;4;17,2250;1.756,76
2000;OO;5;8,0363;819,61
2000;OO;6;7,8285;798,42
2000;OO;7;5,9641;608,27
2000;PP;1;6,6295;676,13
2000;PP;2;14,8281;1.512,30
2000;PP;3;13,9595;1.423,71
2000;PP;4;9,8592;1.005,53
2000;PP;5;12,6553;1.290,70
2000;PP;6;4,2762;436,12
2000;PP;7;5,0773;517,83
2000;QQ;1;12,1437;1.238,52
2000;QQ;2;12,8166;1.307,15
2000;QQ;3;14,0888;1.436,90
2000;QQ;4;13,3675;1.363,34
2000;QQ;5;9,9170;1.011,42
2000;QQ;6;6,6422;677,43
2000;QQ;7;3,5640;363,49
2000;RR;1;17,3571;1.770,23
2000;RR;2;13,1041;1.336,47
2000;RR;3;17,8624;1.821,76
2000;RR;4;19,2551;1.963,80
2000;RR;5;10,7970;1.101,17
2000;RR;6;5,8871;600,42
2000;RR;7;3,1415;320,40
2000;SS;1;13,4657;1.373,35
2000;SS;2;8,7210;889,44
2000;SS;3;19,0776;1.945,70
2000;SS;4;10,2305;1.043,40
2000;SS;5;12,8712;1.312,72
2000;SS;6;3,6060;367,77
2000;SS;7;2,8195;287,56
2000;TT;1;19,9110;2.030,70
2000;TT;2;8,1178;827,92
2000;TT;3;10,3113;1.051,64
2000;TT;4;14,2380;1.452,12
2000;TT;5;8,2247;838,83
2000;TT;6;10,6169;1.082,80
2000;TT;7;2,1759;221,92
2000;UU;1;17,2229;1.756,54
2000;UU;2;9,4033;959,03
2000;UU;3;14,2229;1.450,58
2000;UU;4;13,7072;1.397,98
2000;UU;5;15,9700;1.628,76
2000;UU;6;6,8839;702,08
2000;UU;7;4,7796;487,47
2000;VV;1;8,2957;846,07
2000;VV;2;13,8947;1.417,10
2000;VV;3;20,0502;2.044,90
2000;VV;4;26,1801;2.670,08
2000;VV;5;17,9101;1.826,63
2000;VV;6;9,8752;1.007,16
2000;VV;7;5,7373;585,14
2000;WW;1;9,3993;958,62
2000;WW;2;13,8631;1.413,88
2000;WW;3;30,3936;3.099,81
2000;WW;4;7,6111;776,25
2000;WW;5;8,8029;897,80
2000;WW;6;8,5068;867,60
2000;WW;7;1,5074;153,74
2000;XX;1;12,2292;1.247,24
2000;XX;2;12,5472;1.279,67
2000;XX;3;21,8568;2.229,15
2000;XX;4;30,0396;3.063,70
2000;XX;5;20,2303;2.063,26
2000;XX;6;6,2926;641,77
2000;XX;7;0,0000;0,00
2000;YY;1;19,4590;1.984,60
2000;YY;2;13,8943;1.417,06
2000;YY;3;20,3608;2.076,57
2000;YY;4;28,1570;2.871,70
2000;YY;5;12,9038;1.316,04
2000;YY;6;4,6716;476,45
2000;YY;7;0,0000;0,00
2000;ZZ;1;22,3170;2.276,08
2000;ZZ;2;20,4015;2.080,72
2000;ZZ;3;24,5848;2.507,37
2000;ZZ;4;17,2588;1.760,20
2000;ZZ;5;5,7038;581,72
2000;ZZ;6;3,0105;307,04
2000;ZZ;7;0,5872;59,89
2000;AAA;1;26,2702;2.679,27
2000;AAA;2;17,8984;1.825,44
2000;AAA;3;18,2817;1.864,53
2000;AAA;4;10,9769;1.119,52
2000;AAA;5;7,3016;744,68
2000;AAA;6;4,8742;497,11
2000;AAA;7;2,2564;230,13
2000;BBB;1;16,5663;1.689,58
2000;BBB;2;22,9231;2.337,90
2000;BBB;3;13,8233;1.409,82
2000;BBB;4;10,9584;1.117,63
2000;BBB;5;4,7014;479,49
2000;BBB;6;1,6886;172,22
2000;BBB;7;0,0000;0,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
